"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"e:\react_projects\pocket-money-app\src\App.js", "JavaScript", 30, 0, 0, 0, 3, 33
"e:\react_projects\pocket-money-app\src\components\base\AlertMessage.js", "JavaScript", 26, 0, 0, 0, 4, 30
"e:\react_projects\pocket-money-app\src\components\base\Breadcrumb.js", "JavaScript", 43, 0, 0, 0, 6, 49
"e:\react_projects\pocket-money-app\src\components\form\AddJob.js", "JavaScript", 201, 0, 0, 12, 19, 232
"e:\react_projects\pocket-money-app\src\components\form\EditJob.js", "JavaScript", 179, 0, 0, 4, 19, 202
"e:\react_projects\pocket-money-app\src\components\form\FormHeading.js", "JavaScript", 9, 0, 0, 0, 3, 12
"e:\react_projects\pocket-money-app\src\components\form\FormInput.js", "JavaScript", 0, 0, 0, 0, 1, 1
"e:\react_projects\pocket-money-app\src\components\form\FormLabel.js", "JavaScript", 23, 0, 0, 2, 5, 30
"e:\react_projects\pocket-money-app\src\components\form\JobCategories.js", "JavaScript", 32, 0, 0, 1, 5, 38
"e:\react_projects\pocket-money-app\src\components\jobs\JobItem.js", "JavaScript", 101, 0, 0, 3, 13, 117
"e:\react_projects\pocket-money-app\src\components\jobs\Jobs.js", "JavaScript", 89, 0, 0, 7, 18, 114
"e:\react_projects\pocket-money-app\src\components\pages\AboutUs.js", "JavaScript", 18, 0, 0, 1, 5, 24
"e:\react_projects\pocket-money-app\src\components\pages\Category.js", "JavaScript", 18, 0, 0, 2, 3, 23
"e:\react_projects\pocket-money-app\src\components\pages\Home.js", "JavaScript", 16, 0, 0, 0, 3, 19
"e:\react_projects\pocket-money-app\src\components\pages\Page.js", "JavaScript", 5, 0, 0, 4, 4, 13
"e:\react_projects\pocket-money-app\src\components\pages\SingleJob.js", "JavaScript", 49, 0, 0, 4, 8, 61
"e:\react_projects\pocket-money-app\src\components\pages\Terms.js", "JavaScript", 18, 0, 0, 0, 3, 21
"e:\react_projects\pocket-money-app\src\components\search\SearchBox.js", "JavaScript", 88, 0, 0, 4, 14, 106
"e:\react_projects\pocket-money-app\src\components\shared\Footer.js", "JavaScript", 27, 0, 0, 0, 3, 30
"e:\react_projects\pocket-money-app\src\components\shared\Header.js", "JavaScript", 26, 0, 0, 0, 4, 30
"e:\react_projects\pocket-money-app\src\index.css", "CSS", 0, 23, 0, 0, 4, 27
"e:\react_projects\pocket-money-app\src\index.js", "JavaScript", 10, 0, 0, 3, 3, 16
"e:\react_projects\pocket-money-app\src\logo.svg", "XML", 0, 0, 1, 0, 0, 1
"e:\react_projects\pocket-money-app\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"e:\react_projects\pocket-money-app\src\setupTests.js", "JavaScript", 1, 0, 0, 4, 1, 6
"Total", "-", 1021, 23, 1, 51, 153, 1249